biker_id,tour_id
CG33145288,YU2519340 QX16813281 QP76364848 QR03717384 RQ49464820 WX2683695 RV8233790 VW3098017 QR69035551 RP07279414
EC61865653,QU48928340 QS25647788 YQ5403718 RW48209109 QW71812765 US0307239 SR2219501 ST80624055 TQ29023810 RR14608095 RV21503414
CC23946882,YV890078 SX31661369 RU03553114 UX1543591 QP2460414 QR82190480 QX86219882 QT97445719 YV6176695 SU88114419 RX4003894 QR81294006 XS2412932 QY63129990 RT30405430 RP2394818 RU97005766 TQ18369012 QQ14147164 QP49842818 RW98408743 RX37083684 TR15766191 QV62539682 RQ70473823 RX77332363 SU77726402 TQ63116429
DC82478477,YW217712 SV43004825 TR67083677 QV19013260
EC46728549,RQ33183406 VP2394192 WW1676713 RT89566262 XR7394707 RR49210117 RU29072432 QS61307272 SS88135408 ST54377311 QS13929779 RV50202363 SP01071751 SR30650403 TQ16595591 SP29325544 QV38992821 TU687644
DJ43175229,WU7252209 XP6696202 TR54164270 SW79103948 SW79103948 SX39967033 SX39967033 SY66478016 YP6531778 TQ67096253 RU8676103 RT35261389 SY4293006 SR2567970 TQ86902667 RU15291685 QS79185675 SS99197241 QQ47537500 QQ47537500 YP1303979 QV158771 QW75180166 SY96685669 SW47115394 SU3850493 SU3850493 SQ00093322 QV99116640 XU675684 QX29766016 YY6491337 YY6491337 RV16959506 TQ78250062 SX11881163 SU23553728 RW13137893 QP89632536 XT5956763 SX22409571 RW62265549 QV79520303 QV79520303 YS2459990 QT91291821 RR23569283 SR85475817 VX2667459
EA60379526,QX10747729 SS27788367 SX79292193 QT66528489 VW2757840 SX28664529
HB3889887,RP43455253 SX07386691 QW76393554 WT1936389 QP95206162 QV99561506
CJ45719859,RU98678508 SS69927458 RQ45977549 SS84785057 SQ17416613 WY5158097
BA17536864,RX05037878 RW31716338 SQ50441220 ST99428374 QY9858305 QV99663431 XY8889852 SS58064160 WU1599722 QS7663137 SU98138867 QQ59994451
BC0053518,YU5398943 XV1118590 QV00413013 ST04987729 RU29072432 SR19059524 QQ55472355 SQ18974631 RS69873901 RR82291531
BI47581168,ST80624055 QW33693317 XR0270984 TP53873223 SY41340806 SS12315763
DI18890017,YT0261225 QV26822880 UU6895940 QX48091116 SR72491346 QP1598631 RT27137736 SX10095115 RT1839498 RS81736875 SV17481257
CG5682801,WU1749751 RT15873572 TP02891827 TR38847438 VT5128809 QS10511988 TR3286334 RQ02453106 QX53948415 SV72109301 SV34298859 RU65498979
JF170590,QV00413013 YU5398943 RU29072432 WS460149 QY71885970 RV55831834 QY36167908 TV0925649 QX27572703 QV90420493 QU32377761 QS90707377 SW51042480 ST16874251 QW60953513 RW05765590 UU3400622 QP44854627
CF73722639,QW16470668 TQ05510328 QR94336672 RU48272502 QY02753965 TW2699259
BC51857185,XT306188 RX01788819 RW49567415 QS64587311 SV15755136 UX8843412
DF8368837,QV99663431 QQ14350408 SP53102253 SX35917768 ST18415418 QV93226702 RU71460566 RS79850649 RS79850649 QW69487166 RX59670510 QQ10231970 QR80269047 QR80269047 ST75854859 QT01905636
CD37182196,QV45204489 RW79241460 RY43640347 RP92874032 SQ98700718 RQ40131407
CI18909605,QV70109616 SS88135408 SX96502134 QS95640727 QP95856197 RU56636029
DD16715342,SY9364804 TP50261217 RQ74911504 SS29566428 RQ75249529 UX1543591 VQ8783038 RX4003894 SP46805064 QW99014052 ST22533807 RR73085791 QQ79651886 SX89211600 SP36332464 SU61205682 QQ61382369 TQ18369012 QQ20849582
DF2560129,VY5330828 SR13069097 RV15982486 QV80782785 RV25858033 QT68625690
DE86057072,QT74416640 RV26154283 QT71140446 RR23651182 RU69103422 RR37504401 SW63851020 QW93588465 ST38779574 TY1095881 QT28612515 RT22072300 QT98441841 WV7782490 RY21824776 SS50877007 QW42345117 SU26965347 QW85099143 RQ50760652 QQ68483619
CD84215566,RR21155670 QP77569445 SS82116221 QP609218 RQ75520870 QU78537301
DJ43899827,VS5799819 RX22548338 RW57355954 QY73916091 UT6889678 VQ6825218
DF80128452,RT15873572 QW7094411 ST29508261 RU34753543 RT01458775 QY18177304
DD65349866,TQ62137499 SU19129293 QR94433853 SQ35553288 TQ93610911 WY9356822 QS33552095 RQ53348068 SS6783397 RX30173169 SQ98478289
BA73188652,RU29072432 QS29734614 SQ98275968 QP66708183 QU6790944 SR32053960
EB9456233,YV5900163 RY89906553 TQ98728308 WT1936389 SS65728297 SY30077968 RR98558334 RR98558334 SP96327312 SX09972731 RT88820817 SX07386691 SS76874101 TP25975316
DB04132371,QS63619788 RX39246665 SX69571263 SS88395910 QY7942693 QV88286558 TR7802891 TP21236305 RP79614127 RS63192851 XQ1590455 QY93199919 QX32632366 WU2084125
DI35637004,SV56509214 QP30253462 QP30253462 QU25583872 SX90693055 RQ34184008 QU01858181 QV99476673 QV99476673 SP25468453 QS29447487 QP02636124 SY93564604 QU86739051 QU86739051 QS95200630 SP56563942 QW78753558 QW78753558 QW78753558 TP04124974 WV6696037 WV6696037 WV6696037 RV56631876 QP8743814 SX8159206 QV8005957 XW8854939 SP86681346 RV58489159 RV58489159 XR6425232 QY59602368 TT1814527 RU81126621 QP47438940 QP47438940 QQ45218797 QU63203779 XU7528595 SS82162822 TP37816474 XV4377288 TQ4015310 QX32043495
GF4235318,SU01620432 QP81122807 SU57752126 RT90603461 RY86124911 SQ83605169
BC58740073,QV00413013 RW40270294 RS94399969 RR64041858 QX29625839 QP82833698
CH91418962,TR23848259 SY61489941 QX11629670 SR5043475 VR2003251 SS78482079 RQ53037761 YP7836813 SS27844721 QR5067550 SW97841998 SW73489407 QS0493588 XW962584 SQ99229320
CC05166542,VU357600 SX01659300 QY75008770 QP06903887 QR32434552 VW648066 RR3675975 WU9623017 RV31498914 RS25712717 WU0506418 QY89853635 UR2490248
CB85852179,QT88068589 SX63879024 RW19491342 SS74363087 RX06565970 SS27257991
CJ54864792,QX31967705 ST17632652 RU19019736 QW4289497 QV56749821 SW06170359 SQ20537018 QY28569785 QS21452952 SX19599403 QT4329426 RW22317680 SS65983510 RU3589568 RX23348542 QV43010658 QR15962379 RX00200908 SY69706469 SP12452481
EG9116393,ST91186803 UV8700686 SS3290432 QV93723804 RP42699691 QW44782612
BE28101175,RU29072432 QV00413013 WS8643299 TQ93610911 RX72892494 QY03400031
DG14158257,QX76951633 SY34491209 YU5398943 QU32377761 QW5229279 TT5373500 ST63879879 QQ33147752 SV32072502 QT98441841 RU51881360 QT91066879
BF48216840,TP8698482 QP5718448 QY05807810 UT4654350 SQ8862099 RU95699357 TR31267316 SV83968161 RS28211583 QY341280 SQ92554396 WT6090405 QV65415662 QY97487607 SU96095472 VQ8917454 UV286280 RS88010027 RT02098473 SQ29504825 QT59514053 RW8489979 QW40159503 RQ06690920 RT25935882
BF65310892,TR32519602 QU97380017 SR81130769 QS23913377 QU1502491
DJ11822363,TR60484947 RW76357538 QQ6503895 SP27352986 QS83850843 SR42928083
EI3141559,SQ87773396 SU81275802 RS03635604 RQ43656308 QQ01073006 SV01943023
CG16219713,TR06665392 RQ05083541 SP74569974 QU49564349 QP85747802 QW69590720
DI34655845,QS89928885 SY51671760 QY29873511 RQ55939936 SV47265906 SS77584734 SU12026987 QX21342748 QW40256327 SR33419825 TW443771 SY54561766 RQ68969773 SW63253189 RV7727906 QP7443528 QP53235337 SY73696886 QX19837770 QT10614402 YT1196361 SY71390766 SV59662790 RV11379231 RP58463423 RP58463423 YR1197600 YR1197600 WV7220247 SW66848512 SW66848512 SU83871144 SU83871144 SR01835846 SR01835846
DC85425249,QU48754507 QW38134091 RR71782630 RQ56780216 QR26009206 TP96699700 SQ62919464 WW9606777 SW85387487 QY21275 RX27139478 SY10184716
FD2014578,YU5398943 RU29072432 QV00413013 VP2394192 RQ53348068 RW76927174
GI3588589,SY80859647 SS59524298 RS73204206 SS12755383 QU02284248 YW0593998
HF001773,QX92018889 QP609218 QW16470668 RV21315686 QY02753965
GF3909548,QV02727924 SR70799775 RS54737755 QX01766962 ST44116390 YS1943556 RW97207968 RY5859751 UW8836029 SP68673644 SP18072372 SR21494425 RR86788106 SX31365201
DH93812304,YU5398943 QV11840162 SS00948291 QY43255162 RV88888297 QU32377761 QS90707377 TT5373500 QP44854627 YX6099040 SV32072502 QW94486525
CC06472604,TQ46552769 QV74888438 RW70466219 RW61317427 WU4494201 QW81009055
BI10026348,QS61307272 WW1676713 VP2394192 QU69838328 RU90934028 XW8192149
EA22287072,QP68825763 RV50542682 RT29693803 RP29179615 QS32759137 SY03656386
BG12038297,RQ88977150 SX42575553 SU6211013 YT0376988 TY0005260 RS61063319 QP03847016 SU05444496 QT40583414 SU18831374 RW40924995 RW40924995 RR91564875 SX55990127 SX55990127 RU12730591 RU12730591 VX7654571 VX7654571 SR04081953 SR04081953
BF97392855,UQ684856 QV00524252 QQ34365310 SR03768458 SY43014604 RQ78514388 SY52569238 WQ6262797 QP29448353 RT71590822 WP4367100
FE7476091,RR27701444 TR17931794 QR34490218 QY15380946 RQ83498812 QY83407490
EA30798150,TQ25420656 UW3886273 XX1346279 QR68088620 TR33837355 SU09100603 XY9234866 QU01679119 TR03627753 SS15040094 WY9782433 SR51813967 RT47943335 ST81603259 VW5888033 RT28145712 XR3015621
EC22590338,QR24903972 RQ53821115 YW6859786 QS80816019 QW82916605 QW63016232 RT06637710 RT90438703 QY86416649 QV15092494 RT34399746 SP0004583
DD84998777,ST44400392 SS4681152 WP239777 QX75566296 RX97294049 QP38016517
DD6493147,RY81182600 SQ67757146 SS88135408 ST54377311 QQ73255704 RR1202458 QP71371108 QP0652122 SX56450292 RR81874957
BD15208123,YU5398943 RU29072432 SU65166403 UR2741694 QU32377761 QS90707377 SX75231517 QT45028465 YX6099040 SS14895954 SW35101795 SY38809089
BA34249941,WV9820406 RT60957668 QV7252762 SP50850143 QQ40866581 QY64407998
CG1990895,RX15171271 SQ11155015 SS20505228 QR5067550 QV30022509 SU42075399 QS06613841 WT5914541 RR70458671 RX9404082 QR67316763 TQ01549335 RP38842201
CB29690960,QU22480247 TQ4601582 YU5398943 RW59111805 TP79660037 SP66409179 XY7667289 RX06565970 SY29337192 XY2230242 SS54845431 RR85963249 QY83140495 RS18827942 QX11608751 WP3370904 RP97501529
DH98708300,RU4046741 RQ53037761 XS4360181 ST83869180 QR5579007 RW98291665
BD17057097,YU5398943 QV00413013 RP30801280 SR76213471 TQ36385770 QY26323783
CC64585544,RQ86054523 XR1546192 QV95480317 RT56139530 QS59710437 UX7628640 SY68395368 RV10561518 QY14791953 QY14791953 XY3326926 QQ33385189 QQ33385189 SP57340966 QS32759137 QS32759137 SV17750746 RS79850649 RS79850649 YR9607923 WU3115138 VQ5488222
BF20424871,RP59769837 QP34336461 QQ11438174 SP55102570 RT67740297 VQ5488222
DC61647162,RU29072432 RV43833505 YU5398943 YP7302600 QV00413013 SQ84899378 RP39358442 ST34717258 VS3659090 RQ30616732 QV92359541 RT01458775
BJ35452377,SQ26631984 RX22548338 QR97375856 QX41503354 UW8876481 QS33874666 QU4173769 RV5740872 VS5799819 QR60659849 SR66414126 QR82082433 RT91721612 VQ6825218 QY73916091 RR85108120
DD98074284,QS41096506 QY51496954 TS2884667 TP35948758 QY07768249 SY78187960
DG82151225,QP76364848 RQ49464820 QR03717384 QR69035551 SP48578499 RP07279414
EB65509784,RQ53037761 TR42816413 QV13671569 QR17440720 RX24024899 SR89683998
CI37984655,QR36456605 RX14849271 TT040604 SX9811473 RW32029489 WY3677521 WY3677521 QQ12738637 SP03210851 SS35153331 SS35153331 QX64837767 XX0504585 RW16492883 RW16492883 RW87953346 QR5703643 RX87039266 SS15756640 SX50944985 TQ03636596 RW68548410 TR7268030 SS59203400 SS59203400 SS59203400
CG78956041,SQ18576636 RV11097725 XS4360181 YR1030522 RR35916835 TQ30552113
CF57219570,SU04982125 TQ1688154 QQ24353248 SW83327786 US675398 SU73523098 QS28882359 QX13646982 VT37434
CC54327912,QP70630186 RS92374410 RY78944992 SP16174135 RW05882453 SY00421971 SU36688266 RU48227077 RR6825255 QR69960949 SP29154892 QS26604587 VX4266372 SY43631332 RQ42921098 SW52550750 SV74503714 SV48232990 TP32794844 RQ51031983 YR0600431 QY27488321 QY19672247 SR15487391 TR56469902 VP5781708
DI38242688,YU2519340 QX16813281 QP76364848 SQ03100779 SX49306291 RT18142030 QR03717384 WX2683695 RQ49464820 RQ49464820 QR69035551 QR69035551 RP07279414 RP07279414
DF6982085,RT98491194 TR44463632 RP73609284 QQ51525474 QR03717384 RP07279414
CJ85391759,SS81455240 TQ94031651 RV22473733 SP39309993 QW73358985 SQ02683928 RR21249291 SV59345285 ST48037031 SU01505424 SY45518849 QY66266774 SY30422129 TY7198144 QS20937087 RX94424874 YR9809053 RY56336268
CE93825465,VW9668918 TP83305694 RY3191359 RP10583664 RX56192562 QX37043651
DF94171699,QP76364848 QQ51525474 QQ32763322 RV8233790 QR69035551 RP07279414
EA30525076,QU57343462 RR32765899 YT1395439 RU67184413 QS70289455 QS16988613
EC89419892,RQ15491671 TT0098296 RR35916835 RW46202243 SX64843980 RT65528861
BE85684679,RW62356638 QV30022509 SV97359735 SX64843980 UQ9767743 SW90866767
BG61089307,YV6971643 TR03627753 VW9700922 XY9234866 QQ0357109 RT28145712
BD17928829,TP71751701 SY78290343 RS6468864 RY37515293 QR62111436 QV60158596
CG22502489,QW76393554 SW31945988 YT3072239 RQ20779072 TQ52491492 RV28680570
DI43287866,QU3565237 SU65166403 VV7779361 QS60334065 TR68654829 YU5398943 RW76357538 RU29072432 QU32377761 QS90707377 SV32072502
IE4324358,QS33077999 SX31661369 RT30405430 QW38149624 QS0911918 SU77726402
CD170479,XV1118590 RU29072432 YU5398943 RQ42755647 QU32377761 RW76357538 QS90707377 TQ82729306 SW35036412 QV00413013 RW82403445 QP63306856 RW53736442 RT05536413 QY96503357 RP99424186 XQ3650546 QP44854627 SV32072502 QW53679456 SY85899647
DH64872798,RX28969498 RU69748465 RW66425759 VY9622003 RX06565970
DE74033611,RR58521927 QY96503357 VT5163767 YY2561323 TR10442719 QT80770482
DE82692814,QP76364848 UQ6796945 SQ20715480 SS09338938 QR69035551 RP07279414
CE80681213,YU2519340 RT98491194 RP73609284 ST25809914
CA54648409,TR2024082 YU5398943 RR37045476 TQ77339177 TQ03800848 VT2644408 XY6485186 QP78399009 RV4093631 RT38434714 SQ90231827 SR76213471 QT01905636
BA44598291,YU2519340 QX16813281 QP76364848 SQ03100779 SX49306291 QQ51525474 QR03717384 RQ49464820 QR69035551 RP07279414
EC82954307,ST31614259 SY24453080 QP4070 RS28883039 QX38698560 RQ68072348 QP65677688 QV83157650 SX79978209 SS38313474 SX55652876 RY85301715 VQ0427555 RU04428394 QT01314683 QQ37018984
BG14557413,QQ46909088 VY3206007 VR0028937 SU90807274 QU00592227 XP5963128
DI49582471,QR17136514 QV82999037 SQ62026668 US3528858 RW62181586 RU85726527
BF53019839,RW70527444 RV15984474 UR6418317 TR05554879 YU5398943 RU29072432 RT55219297 SU65166403 SY34491209 UR246840 YP2869993 RP96635407 QS90707377 SV32072502
CJ40390801,SP03433560 QU50049026 TS64520 RT1344738 RP38842201 QV70889080 QX02524531 YS7969852 XQ0563397 SV38176256 ST28913660 QS19055966
BA18886228,QV00413013 RU29072432 YU5398943 VP2394192 RU20169151 QU43005236 QT1747067 RV10494844 QX62794029 VQ3851355
CB93628344,YU5398943 RU29072432 VP2394192 QU56475107 SR76213471 WQ1611185 QR59109743 QY21897790 RV62935109 SV56771393 TV5657177 SR49252679 RR02694777
DI62811674,VR2003251 QV45469702 SW64379733 QS0493588 RY34589137 SQ99229320
BF77437083,SV21854275 YU5398943 QV00413013 RV33697384 RQ45977549 RV3253434 TQ94316975 QV93226702 SY04821261 SQ83605169 SR76213471 RX41724568 QY26323783
FI3119832,YU2519340 QP76364848 SX49306291 RV8233790 QR69035551 RP07279414
JH062150,RT98491194 SY50589515 RP73609284 SX49306291 RV8233790 RP07279414
CG37352610,SQ18576636 XS4360181 YY9770277 SY62985904 SR89683998 SW90866767
CI57166402,RQ53037761 RW98291665 SQ29691238 RT7946149 QV30022509 SY27372874
JB7166122,SY71284129 TR09606131 QY65364019 TP89322861 SW85806105 QY82116608
DJ87610774,QY68459057 TP4595428 RU85327580 RR93472224 RS98192028 TR03627753 SU09100603 TR32519602 QU97380017 RQ16267579 TT5098029 VW5888033 RU14859165 SY84042837
CA3050907,QV10171038 RX60418664 XV1118590 RW63790767 RU29072432 QV99663431 WP5007381 XT4299203 SS15486330 QU17488130 YU5398943 QW97828094 TQ00712234
EB99616576,WY7638314 YU5398943 VP2394192 RU29072432 RT81417302 RW0532321 QR94433853 XR1614261 QR90210464 SS10353908 QY08625006 SQ64534147 QX26343214 TP0356575 SR76213471 QT87327799 RY53981660 XR886770 RW14876429 RV45454646 RT20150606
BH12635579,QP34788894 SV64010858 TQ49184300 QY1271461 QV34190558 SX25145895
GF1367901,SR08240371 RX35968684 YU1253136 QY93452587 SQ4870193 XX7883465
EB04928393,QY58166234 QT01946527 SQ50441220 SX74059726 RP02132690 QU21370885
CF56133275,VS3659090 SU4333473 RR97223691 SV12493798 QR63370906
BG83687851,QP76364848 SW76957253 QR03717384 RQ49464820 QR69035551 RP07279414
BJ64994682,RU29072432 SX58223520 QS90707377 VT5163767 TT8070308 QX6104502
BE74879368,QP76364848 QR69035551 QY02753965 VW3098017 SS09338938 RP07279414
JA5852095,WQ9337372 SY26022702 QV00413013 YU5398943 WQ4391510 RU29072432 QU32377761 QS90707377 SX73822688 RY08519477
BF61107146,TQ68716115 RV49026611 WU0506418 SY46614613 SY82566776 VY9308704
BG454810,RP06570293 UX9257919 QW79618386 YV8434069 WV1140108 VV5321720
BA67164735,SR13813029 QY53210268 QX2153266 SW07599484 WP6941746 TT9812514 WR461116 QW28535880 QS44083815 RT36500227 SY34988771 QW01861494 SW87631270 ST39956212 SS44118120 SV57419629 QV65286634 QR57844994 QP94725860 QQ06466179 WS512801 SX65317184 YV4417452 QY44950450 QY86487861 QP98863093 TP85649365 SW08910341 YV4696705 QR03120960 RP89631359 RV57070627 SP96404071 VQ2529118 SV49047558 RY80561647 SV11536448 QW22968298 SQ52673869 TR60285407 RS84254802 TQ11934872 RP0354622 QU36015047 UV0848526 RS7764772 RY34042058 QQ05514937 ST57347530
DB56650528,XR1546192 RS03517156 RX56475163 RS32683796 QQ33385189 TQ98698180
HC4978354,TQ45684767 RR49176184 QW84460112 WW0278298 QR41270051 RP46473726 SW71702746 RS57122965 RT15873572 QR11708085 TP7061424 RW95929444 VV7121041 QX65069375 QX65069375 ST80624055 ST16395266 ST16395266 SP46869585
CG68702555,SQ03100779 YU2519340 QX44176380 RP73609284 SY50589515 RP07279414
DA6422496,QS61307272 WW1676713 RU29072432 YU5398943 VP2394192 QV00413013 XV8932064 SS72111380 QY21897790 SR1141387 QX62794029
DC39836164,RY38463739 WW1676713 YU5398943 YU5398943 QV00413013 RQ33183406 QS61307272 RU29072432 RV43833505 RV43833505 RQ30616732 RQ30616732 RP39358442 RP39358442 YP7302600 VS3659090 RT01458775 RT01458775
CF79352265,WW1676713 QS61307272 QT97764698 SP04689246 QX62794029 RS84544175
CG38473114,WU0079596 RR59216780 TY1161414 QY86891478 WP2032205 SQ91068419 QP78399009 WV0705045 SS98247231 SS84511898 YY8267429 SS47784034 QR75822727 RP0825836 XP1248966 QQ37010796
DC03593930,TR44463632 RT98491194 QR72961219 QY02753965 SS09338938 RP07279414
CH5264384,QS41191313 WU7619631 WV2391043 YW3265170 SR16974136 QS06257783 TP14695040 QX1219102 SY15796357 ST00642235 RR45352316 RT01458775
DH31356523,QU2418051 SU09100603 RW90605371 QX45786756 RV68074570 RS52676247
CH2886293,QV00413013 QY9858305 SY26022702 YU5398943 RU29072432 QU32377761 QV11840162 QS90707377 RR37504401 SV55295959 QT28612515 XY9419077 SR64448398 SV32072502 QS61741648
DF19657066,RR62994085 SV01196821 SU6665825 SQ23256869 RR15474035 RW64233627 QU08750870 TP477420 SV17812300 RT15873572 RT15873572 RT15873572 SV85002484 SV85002484 ST65774683 RY65442599 RY65442599 RY65442599 QW52177173 QW52177173 QW52177173 SQ58022870 SQ58022870 SQ58022870
EA81761804,RS50143315 VY1282771 RP28042509 WX8716103 SW02386514 QQ46784351 RR74328264 QW03662408 SX75198199 ST80087256
EB75659797,QQ47733770 QR43481310 SS90105219 QV7252762 SY46692042 RR37302185 QT44583217 XP3596418 RR34592975 UP9781557 XW2052061
BA75126714,TP4584045 VS3572331 QS43107637 TP13025273 XV6512763 SY86920873 SU42590909 QY75638328 RP91251917 US9541742 QV69604733 VQ2644906 RX33450000 QT56576726 US0014408 QQ54950496 TY0590226 RY97290586 QS33188058 SW22448563 QV47929068 ST41655380 UX4811498 RT47396369 SX66658418 RP0586552 RS30544471
CF15029406,SY01290120 SY15373411 QW31720858 VY12101 SX41578300 RP45557691
BD45896548,RU29072432 YP7302600 RV43833505 RV21503414 RQ80806657 RQ30616732 VT5128809 YU5398943 VS3659090 SU05218480 QW44785223 RU57897657 UV2877160 RY86124911 ST95437070 RV58555390
FA0590864,TP87098830 RV8233790 RS45395514 QR03717384 RQ49464820 RP07279414
CB8125888,WQ4391510 RT82084054 RT73561029 QS52928000 RS74825098 QY60313393
DC44428383,QW01227599 RS63285172 RT64117384 QU68656668 SU01931364
DI33425001,RS52794406 SV50969064 SS13795740 SU67156235 QQ51132938 QQ51132938 RT00372017 SS67271873 SP79945961 RW39447505 QV84415115 QV84415115 QY12632087 RV44045385 QR21822553 YW210112 SS92527422 TS0873264 QY99660851 RQ4089778
CA27353775,XU8488892 QQ89547370 QU47826436 SX00668884 RU06208118 TY1161389
CG43058163,RW90657295 RQ81644863 TR53737282 QT01069734 QY98964568 QU57343462 SV00053010 RR32765899 RU67184413 RP07279414
DA64141535,TR40012169 RV81949096 QY9015496 TR18422552 RP69779941 UW8495480
DC58281955,TQ97279783 VS3659090 RQ30616732 QT88068589 QR12947698 YS9291841 QV20441934 RT15873572 TX810467 SS49548561 SP47285147 QQ33385189 SU94729381
II5331957,RU09477415 QQ62004917 RY92630849 TR15173213 YU5002198 QV49692139
DC21545220,QX14593210 SU74237758 TY4609171 RV99966806 RY98423233 SX73074356
BI54575078,SS98368733 SP47285147 SS49548561 QR41270051 RP45413792 RV91215697
DI04368962,SU4604902 YW0316639 RT15873572 QP33209626 TQ15436468 RV29437499
BG84440449,YQ0169576 QT51401793 RT18142030 RS45395514 TP80944038 RP07279414
BE27626481,RS39839832 QV11450851 SU6240482 SU72977792 QQ87034903 XX16449
DG97643704,YU5398943 QV00413013 UT7383999 SX41242017 VT2644408 SR76213471
CC7195072,WQ9337372 QS32759137 TR00394007 RV27346430 VT3346765 QS90707377
HD0373215,SQ03100779 SP50850143 RQ49464820 QY02753965 QR69035551 RP07279414
BI79127286,YU2519340 SX49306291 RV8233790 VW3098017 QR69035551 RP07279414
DE64554032,RR58521927 RW77472459 XX9795193 VT5163767 QR70829015 SQ80988532 RX94128040 RR64041858 QQ03665416 SS97593388
CB87183134,VY3050209 TT0970262 SQ37171860 TP89204268 QQ87086028 QW09594652
CJ3229720,XV1118590 SW35036412 YU5398943 QT71140446 RU29072432 YV0369551
DG37069534,YU2519340 RT18142030 RV8233790 TP80944038 QR69035551 RP07279414
DG01599789,QP87635781 QY52025239 QT34430305 TP04973596 SU05302995 SR34297562
JH5501999,TQ25420656 TR03627753 VW9700922 XY9234866 VW5888033 RT28145712
