iter	Passed	Remaining
0	1588	1745720
1	6730	3695156
2	12719	4651269
3	20414	5593566
4	26707	5848890
5	34503	6291166
6	41518	6482759
7	44723	6104760
8	48339	5859766
9	51590	5623320
10	53876	5333789
11	56606	5132341
12	60338	5045247
13	62939	4882287
14	67264	4865486
15	70452	4773152
16	73334	4671852
17	75790	4555839
18	78382	4459530
19	82297	4444074
20	84920	4363307
21	87326	4279018
22	89919	4210598
23	93630	4197780
24	96979	4170110
25	106363	4393626
26	110867	4405969
27	112690	4314436
28	118448	4374409
29	119982	4279376
30	122217	4214544
31	125854	4200391
32	128918	4168365
33	131712	4129589
34	135329	4117869
35	137733	4070803
36	140224	4028625
37	144249	4031397
38	154759	4210255
39	159088	4215838
40	168759	4358929
41	171956	4331669
42	178693	4392537
43	185826	4459826
44	193015	4525142
45	198700	4552833
46	209214	4687298
47	214634	4704068
48	220174	4722524
49	225115	4727435
50	227796	4685452
51	231357	4662738
52	233903	4620702
53	238098	4612047
54	240811	4575422
55	243797	4545076
56	246031	4501943
57	249389	4480410
58	253247	4468316
59	255908	4435744
60	258491	4402834
61	261361	4375689
62	264583	4355122
63	268180	4341172
64	270414	4305828
65	272859	4274793
66	275481	4247344
67	279066	4235244
68	285858	4271308
69	290582	4275715
70	292955	4245793
71	295378	4217343
72	299758	4217155
73	306097	4243998
74	308969	4222576
75	311886	4202265
76	315502	4191680
77	318139	4168446
78	320888	4147185
79	323781	4128219
80	327326	4117849
81	330871	4107647
82	333546	4086950
83	336367	4068440
84	339016	4048259
85	341693	4028809
86	345738	4025667
87	348650	4009477
88	351056	3987847
89	353856	3971058
90	356858	3956817
91	361239	3957925
92	363315	3933968
93	366450	3921795
94	369258	3906366
95	371866	3889106
96	375993	3887853
97	379135	3876462
98	382150	3863962
99	384551	3845514
100	386940	3827260
101	390293	3818758
102	393772	3811566
103	396381	3796114
104	399049	3781471
105	401798	3767807
106	405177	3760200
107	408142	3748868
108	410832	3735180
109	414316	3728850
110	416770	3713386
111	419833	3703527
112	423084	3695434
113	426599	3689713
114	429281	3676890
115	431837	3663171
116	435303	3657291
117	439192	3654977
118	441843	3642428
119	444535	3630374
120	448058	3625203
121	452203	3625037
122	455530	3618322
123	458230	3606720
124	461641	3600801
125	464176	3588157
126	468306	3587894
127	471249	3578547
128	473727	3565812
129	475374	3547025
130	478796	3541630
131	483421	3545092
132	487041	3541118
133	490043	3532704
134	492721	3522045
135	495504	3512252
136	499551	3511442
137	503258	3508222
138	505936	3497879
139	508681	3488101
140	511472	3478736
141	514662	3472156
142	517202	3461277
143	519931	3451764
144	523555	3448244
145	526297	3438960
146	530413	3438669
147	533215	3429870
148	536079	3421552
149	538786	3412317
150	541322	3402083
151	545676	3403297
152	548515	3395062
153	551021	3384846
154	553759	3376144
155	557404	3373009
156	562813	3380468
157	566184	3375604
158	569600	3371030
159	571891	3359864
160	575531	3356672
161	578686	3350667
162	582083	3346089
163	584447	3335627
164	586898	3325760
165	591117	3325927
166	595073	3324572
167	597481	3314597
168	600049	3305595
169	603530	3301664
170	607551	3300675
171	610770	3295320
172	614631	3293431
173	617544	3286470
174	620217	3278294
175	623482	3273281
176	626186	3265365
177	629813	3262293
178	632347	3253586
179	635004	3245578
180	639393	3246422
181	642259	3239528
182	644803	3231065
183	647663	3224237
184	652209	3225794
185	654691	3217140
186	657227	3208818
187	660025	3201824
188	663711	3199160
189	666692	3193104
190	669528	3186393
191	672268	3179271
192	675102	3172631
193	677731	3165076
194	680358	3157562
195	684589	3157496
196	688181	3154455
197	690703	3146537
198	693320	3139102
199	695928	3131678
200	700199	3131737
201	702763	3124165
202	705432	3117109
203	708164	3110367
204	711802	3107626
205	713625	3096996
206	716137	3089423
207	718293	3080374
208	720504	3071624
209	723692	3067076
210	726348	3060301
211	730645	3060439
