iter	Passed	Remaining
0	140	154754
1	289	159060
2	305	111859
3	366	100318
4	405	88719
5	453	82600
6	489	76452
7	523	71514
8	558	67678
9	608	66376
10	649	64339
11	686	62285
12	720	60218
13	767	59567
14	820	59319
15	856	58017
16	898	57219
17	924	55570
18	957	54497
19	996	53806
20	1031	53005
21	1060	51969
22	1085	50845
23	1112	49898
24	1142	49132
25	1180	48772
26	1209	48071
27	1242	47567
28	1278	47233
29	1318	47022
30	1349	46553
31	1382	46141
32	1415	45754
33	1451	45511
34	1485	45203
35	1517	44863
36	1549	44517
37	1576	44049
38	1608	43751
39	1639	43448
40	1668	43098
41	1697	42762
42	1732	42593
43	1760	42262
44	1788	41920
45	1824	41807
46	1857	41608
47	1887	41375
48	1916	41116
49	1948	40913
50	1976	40647
51	2006	40433
52	2038	40263
53	2070	40101
54	2101	39921
55	2130	39725
56	2158	39505
57	2191	39375
58	2217	39129
59	2250	39007
60	2277	38796
61	2306	38611
62	2333	38409
63	2363	38266
64	2396	38154
65	2428	38039
66	2456	37868
67	2488	37770
68	2519	37639
69	2549	37508
70	2584	37450
71	2617	37375
72	2649	37278
73	2683	37201
74	2715	37108
75	2752	37089
76	2793	37112
77	2835	37151
78	2868	37074
79	2904	37027
80	2939	36985
81	3037	37707
82	3091	37880
83	3145	38043
84	3199	38206
85	3260	38449
86	3309	38529
87	3364	38688
88	3412	38763
89	3461	38846
90	3508	38907
91	3558	38993
92	3607	39057
93	3659	39163
94	3704	39188
95	3753	39253
96	3822	39524
97	3882	39695
98	3923	39668
99	3970	39705
100	4016	39729
101	4069	39816
102	4115	39838
103	4164	39878
104	4212	39919
105	4264	39986
106	4311	40013
107	4352	39981
108	4397	39976
109	4442	39984
110	4486	39978
111	4533	39992
112	4575	39960
113	4620	39962
114	4669	39992
115	4716	40005
116	4757	39971
117	4802	39962
118	4854	40014
119	4896	39991
120	4942	39989
121	4984	39960
122	5028	39940
123	5081	39994
124	5122	39952
125	5172	39981
126	5218	39981
127	5265	39987
128	5310	39971
129	5351	39929
130	5399	39938
131	5445	39935
132	5498	39974
133	5541	39951
134	5589	39954
135	5633	39934
136	5689	39989
137	5731	39952
138	5772	39906
139	5820	39909
140	5855	39828
141	5896	39778
142	5936	39731
143	5986	39742
144	6030	39714
145	6078	39718
146	6121	39685
147	6167	39672
148	6221	39708
149	6274	39739
150	6322	39735
151	6372	39741
152	6420	39742
153	6465	39717
154	6509	39686
155	6550	39636
156	6598	39635
157	6643	39609
158	6701	39663
159	6748	39646
160	6794	39625
161	6839	39600
162	6880	39550
163	6923	39514
164	6967	39480
165	7014	39468
166	7058	39435
167	7105	39416
168	7155	39421
169	7199	39387
170	7249	39385
171	7298	39376
172	7342	39342
173	7387	39313
174	7431	39282
175	7478	39260
176	7516	39195
177	7559	39156
178	7604	39128
179	7647	39088
180	7688	39034
181	7731	38999
182	7785	39014
183	7827	38967
184	7870	38927
185	7886	38753
186	7900	38573
187	7942	38529
188	7996	38543
189	8041	38513
190	8086	38486
191	8128	38439
192	8176	38427
193	8218	38379
194	8261	38342
195	8306	38312
196	8352	38283
197	8392	38232
198	8436	38197
199	8483	38174
200	8528	38142
201	8572	38109
202	8617	38080
203	8662	38044
204	8709	38026
205	8764	38035
206	8817	38036
207	8859	37992
208	8897	37930
209	8942	37900
210	8990	37879
211	9035	37847
212	9060	37730
213	9104	37695
214	9152	37673
215	9199	37648
216	9246	37623
217	9291	37592
218	9340	37574
219	9393	37572
